Year,Month,Country,Total price
2011,01,Australia,9017.710000000001
2011,01,Belgium,1080.2
2011,01,France,16174.12
2011,01,Germany,15326.84
2011,01,Greece,2661.24
2011,01,Hong Kong,2439.76
2011,01,Iceland,475.39
2011,01,Israel,379.84000000000003
2011,01,Italy,2066.51
2011,01,Lebanon,1693.88
2011,01,Netherlands,26596.16
2011,01,Poland,613.22
2011,01,Portugal,3479.71
2011,01,Singapore,2053.07
2011,01,Spain,9694.09
2011,01,Sweden,3286.32
2011,01,Switzerland,4031.23
2011,01,United Kingdom,547241.83
2011,02,Australia,14695.42
2011,02,Austria,438.36
2011,02,Belgium,1926.07
2011,02,France,7687.96
2011,02,Germany,8825.05
2011,02,Israel,779.1
2011,02,Italy,228.0
2011,02,Japan,5780.8099999999995
2011,02,Netherlands,22831.91
2011,02,Norway,590.9
2011,02,Poland,604.05
2011,02,Portugal,1017.9
2011,02,Saudi Arabia,145.92
2011,02,Spain,1722.5
2011,02,Sweden,469.5
2011,02,Switzerland,2374.92
2011,02,United Arab Emirates,889.24
2011,02,United Kingdom,419050.62
2011,03,Australia,17223.99
2011,03,Austria,1308.1200000000001
2011,03,Belgium,2994.98
2011,03,France,13689.55
2011,03,Germany,12862.69
2011,03,Greece,387.31
2011,03,Italy,1676.81
2011,03,Japan,48.9
2011,03,Netherlands,22206.489999999998
2011,03,Norway,345.01
2011,03,Poland,317.78
2011,03,Portugal,2520.85
2011,03,Spain,4775.15
2011,03,Sweden,4680.58
2011,03,Switzerland,1590.23
2011,03,United Kingdom,573351.22
2011,04,Australia,421.6
2011,04,Austria,584.78
2011,04,Belgium,1788.48
2011,04,Brazil,1143.6
2011,04,France,3899.31
2011,04,Germany,10994.79
2011,04,Greece,509.74
2011,04,Hong Kong,1539.64
2011,04,Iceland,636.25
2011,04,Israel,110.0
2011,04,Italy,737.8299999999999
2011,04,Japan,6548.5
2011,04,Netherlands,2886.56
2011,04,Poland,705.8399999999999
2011,04,Portugal,1687.75
2011,04,Singapore,2118.74
2011,04,Spain,1645.65
2011,04,Sweden,649.1
2011,04,Switzerland,1756.94
2011,04,USA,383.95
2011,04,United Kingdom,466318.821
2011,04,Unspecified,299.1
2011,05,Australia,13638.41
2011,05,Austria,1049.43
2011,05,Bahrain,548.4
2011,05,Belgium,2486.4
2011,05,France,16210.88
2011,05,Germany,23518.2
2011,05,Hong Kong,1966.16
2011,05,Italy,587.45
2011,05,Japan,1351.45
2011,05,Netherlands,28942.88
2011,05,Poland,1402.37
2011,05,Portugal,602.83
2011,05,Spain,2697.6
2011,05,Sweden,2641.98
2011,05,Switzerland,3450.0099999999998
2011,05,United Kingdom,619639.48
2011,05,Unspecified,1055.8700000000001
2011,06,Australia,25187.77
2011,06,Belgium,3848.82
2011,06,France,14962.41
2011,06,Germany,12122.1
2011,06,Hong Kong,618.96
2011,06,Iceland,382.52
2011,06,Italy,202.07
2011,06,Japan,1607.04
2011,06,Malta,703.16
2011,06,Netherlands,26753.09
2011,06,Norway,5186.86
2011,06,Poland,263.65000000000003
2011,06,Portugal,800.46
2011,06,Spain,2717.21
2011,06,Sweden,676.0
2011,06,Switzerland,7544.15
2011,06,United Kingdom,606395.97
2011,06,Unspecified,185.78
2011,07,Australia,4964.38
2011,07,Austria,1111.95
2011,07,Belgium,2205.57
2011,07,France,9171.19
2011,07,Germany,14743.3
2011,07,Greece,321.24
2011,07,Israel,1430.75
2011,07,Italy,147.1
2011,07,Japan,3854.4
2011,07,Netherlands,11.02
2011,07,Norway,770.0699999999999
2011,07,Poland,607.3
2011,07,Portugal,2175.85
2011,07,Singapore,3949.32
2011,07,Spain,7120.92
2011,07,Sweden,6692.09
2011,07,Switzerland,3518.61
2011,07,United Kingdom,578308.011
2011,07,Unspecified,1425.41
2011,08,Australia,22489.2
2011,08,Austria,1436.08
2011,08,Belgium,3140.02
2011,08,France,12630.96
2011,08,Germany,17636.77
2011,08,Hong Kong,2653.9500000000003
2011,08,Iceland,584.9100000000001
2011,08,Israel,4873.8099999999995
2011,08,Italy,1838.95
2011,08,Malta,1079.0
2011,08,Netherlands,40327.81
2011,08,Norway,1505.81
2011,08,Poland,361.8
2011,08,Portugal,1221.4
2011,08,Spain,2898.91
2011,08,Sweden,1160.86
2011,08,Switzerland,4889.89
2011,08,United Kingdom,580150.26
2011,08,Unspecified,531.03
2011,09,Australia,5106.7300000000005
2011,09,Belgium,3779.02
2011,09,France,21898.04
2011,09,Germany,16561.22
2011,09,Israel,423.73
2011,09,Italy,279.8
2011,09,Japan,112.07999999999998
2011,09,Netherlands,26832.26
2011,09,Norway,8398.94
2011,09,Poland,489.25
2011,09,Portugal,1377.22
2011,09,Spain,4461.24
2011,09,Sweden,4517.21
2011,09,Switzerland,7524.86
2011,09,United Arab Emirates,975.54
2011,09,United Kingdom,878384.112
2011,09,Unspecified,286.85
2011,10,Australia,17150.53
2011,10,Austria,923.78
2011,10,Belgium,5169.38
2011,10,France,24008.33
2011,10,Germany,28422.92
2011,10,Hong Kong,734.52
2011,10,Iceland,1294.32
2011,10,Israel,138.03
2011,10,Italy,3329.69
2011,10,Japan,1948.0400000000002
2011,10,Netherlands,40378.65
2011,10,Norway,3316.73
2011,10,Portugal,5330.13
2011,10,RSA,1002.3100000000001
2011,10,Singapore,999.26
2011,10,Spain,7964.94
2011,10,Sweden,5671.16
2011,10,Switzerland,7265.18
2011,10,USA,2311.2
2011,10,United Kingdom,914957.97
2011,11,Australia,7242.72
2011,11,Austria,1209.78
2011,11,Belgium,5619.76
2011,11,France,29216.76
2011,11,Germany,24252.7
2011,11,Italy,3875.08
2011,11,Japan,8460.08
2011,11,Malta,288.43
2011,11,Netherlands,25640.01
2011,11,Norway,5807.5
2011,11,Poland,1361.23
2011,11,Portugal,2336.9
2011,11,Spain,8034.96
2011,11,Sweden,2322.23
2011,11,Switzerland,7916.96
2011,11,United Kingdom,1286504.78
2011,11,Unspecified,965.75
2011,12,Austria,523.2
2011,12,Belgium,1288.73
2011,12,France,6538.92
2011,12,Germany,7024.17
2011,12,Greece,545.99
2011,12,Iceland,224.82
2011,12,Italy,200.45000000000002
2011,12,Netherlands,11728.02
2011,12,Norway,2745.7000000000003
2011,12,Portugal,2416.19
2011,12,Spain,288.21
2011,12,Sweden,238.0
2011,12,USA,885.24
2011,12,United Kingdom,572306.01
